Year,Gold count,Silver count,Bronze count,None count,country_iso
2014,0,0,0,2,ZWE
2004,0,0,0,5,GRD
1984,0,0,0,6,GRD
2008,0,0,0,9,GRD
2012,1,0,0,7,GRD
1996,0,0,0,5,GRD
2016,0,1,0,5,GRD
1988,0,0,0,7,GRD
1992,0,0,0,5,GRD
2000,0,0,0,3,GRD
2012,0,0,1,54,HKG
2008,0,0,0,47,HKG
2016,0,0,0,47,HKG
1988,0,0,0,91,HKG
1992,0,0,0,66,HKG
1964,0,0,0,50,HKG
1996,1,0,0,31,HKG
2004,0,2,0,40,HKG
1976,0,0,0,50,HKG
2000,0,0,0,46,HKG
1972,0,0,0,18,HKG
1984,0,0,0,87,HKG
1952,0,0,0,9,HKG
1956,0,0,0,4,HKG
1960,0,0,0,4,HKG
1968,0,0,0,25,HKG
2006,0,0,0,3,HKG
2010,0,0,0,3,HKG
2014,0,0,0,1,HKG
2002,0,0,0,5,HKG
2016,0,0,0,5,LCA
1996,0,0,0,8,LCA
2008,0,0,0,4,LCA
2012,0,0,0,4,LCA
2004,0,0,0,2,LCA
2000,0,0,0,5,LCA
2016,0,0,0,5,FSM
2004,0,0,0,5,FSM
2008,0,0,0,5,FSM
2012,0,0,0,6,FSM
2000,0,0,0,5,FSM
2012,0,0,0,6,MMR
1956,0,0,0,10,MMR
1972,0,0,0,19,MMR
1964,0,0,0,12,MMR
2000,0,0,0,7,MMR
1960,0,0,0,8,MMR
1968,0,0,0,4,MMR
1996,0,0,0,3,MMR
2016,0,0,0,8,MMR
1988,0,0,0,3,MMR
1992,0,0,0,5,MMR
1984,0,0,0,1,MMR
2008,0,0,0,7,MMR
1952,0,0,0,5,MMR
1948,0,0,0,5,MMR
2004,0,0,0,2,MMR
1980,0,0,0,2,MMR
1984,0,0,0,23,MWI
1988,0,0,0,22,MWI
2008,0,0,0,4,MWI
2000,0,0,0,2,MWI
2004,0,0,0,4,MWI
1972,0,0,0,18,MWI
2016,0,0,0,5,MWI
1996,0,0,0,2,MWI
1992,0,0,0,4,MWI
2012,0,0,0,3,MWI
1964,0,0,0,15,ZMB
1980,0,0,0,43,ZMB
1992,0,0,0,11,ZMB
2008,0,0,0,8,ZMB
1988,0,0,0,33,ZMB
2000,0,0,0,8,ZMB
2004,0,0,0,6,ZMB
1972,0,0,0,12,ZMB
1984,0,0,1,17,ZMB
2016,0,0,0,7,ZMB
1996,0,1,0,7,ZMB
2012,0,0,0,7,ZMB
1968,0,0,0,7,ZMB
1996,0,0,0,2,STP
2008,0,0,0,4,STP
2016,0,0,0,3,STP
2012,0,0,0,2,STP
2004,0,0,0,2,STP
2000,0,0,0,2,STP
2016,0,0,0,6,MKD
2012,0,0,0,4,MKD
1996,0,0,0,16,MKD
2000,0,0,1,14,MKD
2006,0,0,0,5,MKD
2010,0,0,0,4,MKD
2014,0,0,0,6,MKD
1998,0,0,0,3,MKD
2002,0,0,0,4,MKD
2004,0,0,0,14,MKD
2008,0,0,0,7,MKD
2014,0,0,0,1,TON
1988,0,0,0,7,TON
2016,0,0,0,7,TON
2012,0,0,0,3,TON
1984,0,0,0,7,TON
2004,0,0,0,5,TON
1996,0,1,0,4,TON
1992,0,0,0,5,TON
2000,0,0,0,3,TON
2008,0,0,0,3,TON
1972,0,0,0,22,LIE
1988,0,0,1,51,LIE
1968,0,0,0,20,LIE
1948,0,0,0,18,LIE
1956,0,0,0,14,LIE
1976,0,0,2,27,LIE
1992,0,0,0,26,LIE
1996,0,0,0,2,LIE
1960,0,0,0,17,LIE
1964,0,0,0,15,LIE
1936,0,0,0,12,LIE
1984,0,0,2,25,LIE
1994,0,0,0,25,LIE
1998,0,0,0,19,LIE
2002,0,0,0,18,LIE
2006,0,0,0,12,LIE
2010,0,0,0,5,LIE
1980,2,2,0,13,LIE
2000,0,0,0,2,LIE
2004,0,0,0,1,LIE
2008,0,0,0,2,LIE
2014,0,0,0,5,LIE
1952,0,0,0,2,LIE
2012,0,0,0,4,LIE
2016,0,0,0,3,LIE
2012,0,14,0,20,MNE
2016,0,0,0,35,MNE
2008,0,0,0,20,MNE
2014,0,0,0,3,MNE
2010,0,0,0,2,MNE
2016,0,0,0,4,GMB
1984,0,0,0,16,GMB
2012,0,0,0,2,GMB
1988,0,0,0,6,GMB
1996,0,0,0,12,GMB
2000,0,0,0,2,GMB
2008,0,0,0,3,GMB
1992,0,0,0,8,GMB
2004,0,0,0,3,GMB
2016,0,0,0,9,COK
2012,0,0,0,9,COK
2004,0,0,0,3,COK
2008,0,0,0,4,COK
1988,0,0,0,8,COK
1992,0,0,0,2,COK
1996,0,0,0,3,COK
2000,0,0,0,2,COK
2008,0,0,0,12,ALB
2012,0,0,0,10,ALB
1992,0,0,0,9,ALB
1996,0,0,0,9,ALB
2016,0,0,0,6,ALB
2004,0,0,0,7,ALB
1972,0,0,0,5,ALB
2000,0,0,0,5,ALB
2014,0,0,0,2,ALB
2006,0,0,0,3,ALB
2010,0,0,0,2,ALB
2000,0,0,0,6,SWZ
2004,0,0,0,3,SWZ
2008,0,0,0,4,SWZ
1992,0,0,0,13,SWZ
1984,0,0,0,11,SWZ
1988,0,0,0,15,SWZ
2012,0,0,0,3,SWZ
1972,0,0,0,4,SWZ
1996,0,0,0,6,SWZ
2016,0,0,0,2,SWZ
1972,0,0,0,1,BFA
1992,0,0,0,4,BFA
1996,0,0,0,5,BFA
1988,0,0,0,9,BFA
2012,0,0,0,5,BFA
2016,0,0,0,5,BFA
2008,0,0,0,6,BFA
2004,0,0,0,5,BFA
2000,0,0,0,4,BFA
2012,0,0,0,6,BDI
2004,0,0,0,7,BDI
2016,0,1,0,9,BDI
1996,1,0,0,6,BDI
2000,0,0,0,6,BDI
2008,0,0,0,3,BDI
2000,0,0,0,5,ABW
2004,0,0,0,4,ABW
1992,0,0,0,5,ABW
1996,0,0,0,3,ABW
1988,0,0,0,12,ABW
2012,0,0,0,4,ABW
2016,0,0,0,7,ABW
2008,0,0,0,2,ABW
2016,0,0,0,2,NRU
2004,0,0,0,3,NRU
2008,0,0,0,1,NRU
2012,0,0,0,2,NRU
1996,0,0,0,3,NRU
2000,0,0,0,2,NRU
1968,0,0,0,9,VNM
1952,0,0,0,13,VNM
1972,0,0,0,2,VNM
1964,0,0,0,23,VNM
1956,0,0,0,10,VNM
1960,0,0,0,5,VNM
2012,0,0,0,6,KHM
1972,0,0,0,17,KHM
2016,0,0,0,6,KHM
1964,0,0,0,13,KHM
1956,0,0,0,2,KHM
2008,0,0,0,4,KHM
2000,0,0,0,4,KHM
2004,0,0,0,4,KHM
1996,0,0,0,5,KHM
1984,0,0,0,6,BTN
2012,0,0,0,2,BTN
2000,0,0,0,2,BTN
2004,0,0,0,2,BTN
2008,0,0,0,2,BTN
1988,0,0,0,6,BTN
1992,0,0,0,12,BTN
1996,0,0,0,2,BTN
2016,0,0,0,2,BTN
2016,0,0,0,5,MHL
2008,0,0,0,5,MHL
2012,0,0,0,4,MHL
2012,0,0,0,3,KIR
2008,0,0,0,2,KIR
2016,0,0,0,3,KIR
2004,0,0,0,3,KIR
2008,0,0,0,3,TUV
2012,0,0,0,3,TUV
2016,0,0,0,1,TUV
2016,0,0,0,3,SSD
1980,0,0,0,7,LSO
2000,0,0,0,6,LSO
1988,0,0,0,6,LSO
1996,0,0,0,11,LSO
2008,0,0,0,5,LSO
2004,0,0,0,3,LSO
2012,0,0,0,4,LSO
2016,0,0,0,9,LSO
1992,0,0,0,8,LSO
1984,0,0,0,5,LSO
1972,0,0,0,2,LSO
